state,population
ALABAMA,5157699
ALASKA,740133
ARIZONA,7582384
ARKANSAS,3088354
CALIFORNIA,39431263
COLORADO,5957493
CONNECTICUT,3675069
DELAWARE,1051917
DISTRICT OF COLUMBIA,702250
FLORIDA,23372215
GEORGIA,11180878
HAWAII,1446146
IDAHO,2001619
ILLINOIS,12710158
INDIANA,6924275
IOWA,3241488
KANSAS,2970606
KENTUCKY,4588372
LOUISIANA,4597740
MAINE,1405012
MARYLAND,6263220
MASSACHUSETTS,7136171
MICHIGAN,10140459
MINNESOTA,5793151
MISSISSIPPI,2943045
MISSOURI,6245466
MONTANA,1137233
NEBRASKA,2005465
NEVADA,3267467
NEW HAMPSHIRE,1409032
NEW JERSEY,9500851
NEW MEXICO,2130256
NEW YORK,19867248
NORTH CAROLINA,11046024
NORTH DAKOTA,796568
OHIO,11883304
OKLAHOMA,4095393
OREGON,4272371
PENNSYLVANIA,13078751
PUERTO RICO,3203295
RHODE ISLAND,1112308
SOUTH CAROLINA,5478831
SOUTH DAKOTA,924669
TENNESSEE,7227750
TEXAS,31290831
UTAH,3503613
VERMONT,648493
VIRGINIA,8811195
WASHINGTON,7958180
WEST VIRGINIA,1769979
WISCONSIN,5960975
WYOMING,587618
